"","festival_dates","year","day_of_performance","artist","stage","headliner","genre","spotify_id","spotify_popularity"
"1","July 31, 2025 - August 3, 2025",2025,"Thursday","TYLER, THE CREATOR",NA,1,NA,"4V8LLVI7PbaPR0K2TGSxFF",91
"2","July 31, 2025 - August 3, 2025",2025,"Thursday","GRACIE ABRAMS",NA,NA,NA,"4tuJ0bMpJh08umKkEXKUI5",89
"3","July 31, 2025 - August 3, 2025",2025,"Thursday","LUKE COMBS",NA,1,"country","718COspgdWOnwOFpJHRZHS",86
"4","July 31, 2025 - August 3, 2025",2025,"Thursday","ALEX WARREN",NA,NA,NA,"0fTSzq9jAh4c36UVb4V7CB",85
"5","July 31, 2025 - August 3, 2025",2025,"Thursday","CAGE THE ELEPHANT",NA,NA,"modern rock","26T3LtbuGT1Fu9m0eRq5X3",75
"6","July 31, 2025 - August 3, 2025",2025,"Thursday","ROLE MODEL",NA,NA,"bedroom pop","1dy5WNgIKQU6ezkpZs4y8z",75
"7","July 31, 2025 - August 3, 2025",2025,"Thursday","DOM DOLLA",NA,NA,"house, tech house","205i7E8fNVfojowcQSfK9m",72
"8","July 31, 2025 - August 3, 2025",2025,"Thursday","MARK AMBOR",NA,NA,NA,"11p2E654TTU8e0nZWBR4AL",72
"9","July 31, 2025 - August 3, 2025",2025,"Thursday","ROYEL OTIS",NA,NA,"indie","5b5bt4mZQpJMoCRbiQ7diH",71
"10","July 31, 2025 - August 3, 2025",2025,"Thursday","MAGDALENA BAY",NA,NA,NA,"1oPRcJUkloHaRLYx0olBLJ",69
"11","July 31, 2025 - August 3, 2025",2025,"Thursday","2HOLLIS",NA,NA,"hyperpop, electroclash","72NhFAGG5Pt91VbheJeEPG",68
"12","July 31, 2025 - August 3, 2025",2025,"Thursday","HALF-ALIVE",NA,NA,NA,"4TvhRzxIL1le2PWCeUqxQw",66
"13","July 31, 2025 - August 3, 2025",2025,"Thursday","JADE LEMAC",NA,NA,NA,"4JnJjqxsTp8E5rZsyITf63",66
"14","July 31, 2025 - August 3, 2025",2025,"Thursday","MAU P",NA,NA,"tech house, house","0w1sbtZVQoK6GzV4A4OkCv",66
"15","July 31, 2025 - August 3, 2025",2025,"Thursday","THE BLESSED MADONNA",NA,NA,NA,"4TvhRzxIL1le2PWCeUqxQw",66
"16","July 31, 2025 - August 3, 2025",2025,"Thursday","BARRY CAN'T SWIM",NA,NA,"jazz house","0vTVU0KH0CVzijsoKGsTPl",65
"17","July 31, 2025 - August 3, 2025",2025,"Thursday","CLOONEE",NA,NA,"tech house, house, latin house, techno","7MdlXmq2HViAJWo9cf30sR",64
"18","July 31, 2025 - August 3, 2025",2025,"Thursday","XDINARY HEROES",NA,NA,"k-rock, k-pop","1khChLj7REGqjM043PlYyn",64
"19","July 31, 2025 - August 3, 2025",2025,"Thursday","SIERRA FERRELL",NA,NA,"americana, alt country, bluegrass","3oVcF3VdpMuvMvLLyHPT4t",63
"20","July 31, 2025 - August 3, 2025",2025,"Thursday","XAVIERSOBASED",NA,NA,"cloud rap, underground hip hop","2oM7LMPFu882oC6jSwEqjd",62
"21","July 31, 2025 - August 3, 2025",2025,"Thursday","JULIE",NA,NA,"shoegaze","3VNzWLePg9jTvQ2ximYOzW",56
"22","July 31, 2025 - August 3, 2025",2025,"Thursday","OVERMONO",NA,NA,"uk garage, breakbeat","01PnN11ovfen6xUOHfNpn3",56
"23","July 31, 2025 - August 3, 2025",2025,"Thursday","DURAND BERNARR",NA,NA,"neo soul","2d6ggH1oVt4z2zCuY2u5DW",54
"24","July 31, 2025 - August 3, 2025",2025,"Thursday","GLASS BEAMS",NA,NA,NA,"1LTFJvVvRw7ghAyThxYmnF",54
"25","July 31, 2025 - August 3, 2025",2025,"Thursday","PROSPA",NA,NA,NA,"6HabM2PUM519iIxervGWSb",54
"26","July 31, 2025 - August 3, 2025",2025,"Thursday","TORREN FOOT B2B AIRWOLF PARADISE",NA,NA,"tech house","7lQOxDl96wmNoqGoW4kgv4",52
"27","July 31, 2025 - August 3, 2025",2025,"Thursday","MATT CHAMPION",NA,NA,"bedroom pop","29Oq9Nv8zLgu3IvX1tIpbm",50
"28","July 31, 2025 - August 3, 2025",2025,"Thursday","SUNAMI",NA,NA,"hardcore, hardcore punk, grindcore","1pBeRGeBHNPLy95LswDViS",50
"29","July 31, 2025 - August 3, 2025",2025,"Thursday","YANA",NA,NA,NA,"6bR96LMvgvYgDlumR7JwPX",50
"30","July 31, 2025 - August 3, 2025",2025,"Thursday","THE DROPTINES",NA,NA,"red dirt","5MKl9FP3O6MpQhVx7QRFyc",49
"31","July 31, 2025 - August 3, 2025",2025,"Thursday","FCUKERS",NA,NA,NA,"3UtzOHYm3lQALkKzVD4wyO",48
"32","July 31, 2025 - August 3, 2025",2025,"Thursday","THE SYMPOSIUM",NA,NA,NA,"2FQgnKHydnhSnRS17BSy28",47
"33","July 31, 2025 - August 3, 2025",2025,"Thursday","ALEXSUCKS",NA,NA,NA,"0zmxCsd8aIJHfNC95gdT2i",45
"34","July 31, 2025 - August 3, 2025",2025,"Thursday","AZZECCA",NA,NA,"tech house, stutter house","2k5DY2QDU3kBi5DX7OQlWj",45
"35","July 31, 2025 - August 3, 2025",2025,"Thursday","BLACK PARTY",NA,NA,"alternative r&b","4C9Tvlt8v7d8R6h98FgdUy",44
"36","July 31, 2025 - August 3, 2025",2025,"Thursday","NOURISHED BY TIME",NA,NA,NA,"7zNkqI6qRr0OJ4XO1Pw29g",44
"37","July 31, 2025 - August 3, 2025",2025,"Thursday","RATBOYS",NA,NA,NA,"1SoBNpuC0N4nvaQFENS0qf",40
"38","July 31, 2025 - August 3, 2025",2025,"Thursday","BO STALOCH",NA,NA,NA,"0R6ixwuTCNnIohSzEU7a2o",39
"39","July 31, 2025 - August 3, 2025",2025,"Thursday","COLBY ACUFF",NA,NA,NA,"0R6ixwuTCNnIohSzEU7a2o",39
"40","July 31, 2025 - August 3, 2025",2025,"Thursday","SILLY GOOSE",NA,NA,"rap metal, nu metal, rap rock","0GicbfMtwhn3Ch0PdwkADQ",33
"41","July 31, 2025 - August 3, 2025",2025,"Thursday","CHICAGO MADE",NA,NA,NA,"1Tq0nryXkwLARcHDMIZbY6",27
"42","July 31, 2025 - August 3, 2025",2025,"Thursday","GIRL TONES",NA,NA,NA,"1Tq0nryXkwLARcHDMIZbY6",27
"43","July 31, 2025 - August 3, 2025",2025,"Thursday","DJ HEATHER",NA,NA,"chicago house, funky house","6K3wEom1qiZrmZ6pTNdLcl",14
"44","July 31, 2025 - August 3, 2025",2025,"Friday","OLIVIA RODRIGO",NA,1,NA,"1McMsnEElThX1knmY4oliG",88
"45","July 31, 2025 - August 3, 2025",2025,"Friday","GIGI PEREZ",NA,NA,NA,"1iCnM8foFssWlPRLfAbIwo",80
"46","July 31, 2025 - August 3, 2025",2025,"Friday","T-PAIN",NA,NA,NA,"3aQeKQSyrW4qWr35idm0cy",80
"47","July 31, 2025 - August 3, 2025",2025,"Friday","KORN",NA,1,"nu metal, metal, rap metal, alternative metal","3RNrq3jvMZxD9ZyoOZbQOD",78
"48","July 31, 2025 - August 3, 2025",2025,"Friday","DJO",NA,NA,"psychedelic pop","5p9HO3XC5P3BLxJs5Mtrhm",76
"49","July 31, 2025 - August 3, 2025",2025,"Friday","FOSTER THE PEOPLE",NA,NA,NA,"7gP3bB2nilZXLfPHJhMdvc",74
"50","July 31, 2025 - August 3, 2025",2025,"Friday","ISABEL LAROSA",NA,NA,NA,"5arKwJZEvT5uKq4o0JfqR4",74
"51","July 31, 2025 - August 3, 2025",2025,"Friday","RAVYN LENAE",NA,NA,"alternative r&b","5RTLRtXjbXI2lSXc6jxlAz",73
"52","July 31, 2025 - August 3, 2025",2025,"Friday","WALLOWS",NA,NA,"indie","0NIPkIjTV8mB795yEIiPYL",73
"53","July 31, 2025 - August 3, 2025",2025,"Friday","BUNT.",NA,NA,"stutter house","2CpLIMBoE2ZzyY3ZBCRZ7j",70
"54","July 31, 2025 - August 3, 2025",2025,"Friday","BLADEE",NA,NA,"cloud rap, hyperpop","2xvtxDNInKDV4AvGmjw6d1",69
"55","July 31, 2025 - August 3, 2025",2025,"Friday","BLEACHERS",NA,NA,NA,"2eam0iDomRHGBypaDQLwWI",69
"56","July 31, 2025 - August 3, 2025",2025,"Friday","AMAARAE",NA,NA,"alté, afrobeats","21UPYSRWFKwtqvSAnFnSvS",67
"57","July 31, 2025 - August 3, 2025",2025,"Friday","WYATT FLORES",NA,NA,"country, red dirt","46lEQmDJLJeyltECJYJv1Y",67
"58","July 31, 2025 - August 3, 2025",2025,"Friday","DEL WATER GAP",NA,NA,NA,"0xPoVNPnxIIUS1vrxAYV00",63
"59","July 31, 2025 - August 3, 2025",2025,"Friday","FLIPTURN",NA,NA,NA,"7FKTg75ADVMZgY3P9ZMRtH",63
"60","July 31, 2025 - August 3, 2025",2025,"Friday","KNOCK2",NA,NA,"bass house, edm, bassline","6mmSS7itNWKbapgG2eZbIg",63
"61","July 31, 2025 - August 3, 2025",2025,"Friday","KENNY MASON",NA,NA,NA,"4mwdnO2jZrMmMVrjcHsZBv",59
"62","July 31, 2025 - August 3, 2025",2025,"Friday","MURDA BEATZ",NA,NA,NA,"3CbYyyd8wH3RT6t0jwpdzC",59
"63","July 31, 2025 - August 3, 2025",2025,"Friday","JANE REMOVER",NA,NA,"hyperpop, shoegaze","2rLGlNI6htigNxx172qxLu",57
"64","July 31, 2025 - August 3, 2025",2025,"Friday","THE DARE",NA,NA,"electroclash","2mqiqsaX4LzFnUP7PmHGAb",57
"65","July 31, 2025 - August 3, 2025",2025,"Friday","ISOXO",NA,NA,"bass house, edm trap, edm","4zVCMnjw54nkhGHU4e1Pav",55
"66","July 31, 2025 - August 3, 2025",2025,"Friday","ALLEYCVT",NA,NA,"dubstep, edm","4JxRK2gxmri7L7OWaxnVD1",54
"67","July 31, 2025 - August 3, 2025",2025,"Friday","HEY, NOTHING",NA,NA,"midwest emo","6YWqJQS9TETSb8LgZONUzI",54
"68","July 31, 2025 - August 3, 2025",2025,"Friday","OLD MERVS",NA,NA,"surf rock","3N8YzKqrEQonvd5RLQ4iYg",54
"69","July 31, 2025 - August 3, 2025",2025,"Friday","TANNER ADELL",NA,NA,NA,"5xKVALj2MSqOHmQhburCM8",54
"70","July 31, 2025 - August 3, 2025",2025,"Friday","MIDNIGHT GENERATION",NA,NA,"mexican indie, nu disco","4CKIGHCZRzNoiNDSaW5eaq",53
"71","July 31, 2025 - August 3, 2025",2025,"Friday","ORLA GARTLAND",NA,NA,"indie pop","3ajf12ub55b51qcS94d9Co",53
"72","July 31, 2025 - August 3, 2025",2025,"Friday","TAPE B",NA,NA,"dubstep, bass music, riddim","59tlsKpLWoLTxjNNS2wdPi",53
"73","July 31, 2025 - August 3, 2025",2025,"Friday","STAR BANDZ",NA,NA,NA,"5qhDQveADDnjIZQ85AtgDM",52
"74","July 31, 2025 - August 3, 2025",2025,"Friday","CAROLINE KINGSBURY",NA,NA,NA,"0uE0bzpIfuZ9XVduu0byzg",46
"75","July 31, 2025 - August 3, 2025",2025,"Friday","DOGPARK",NA,NA,NA,"2VlmDb05CPERyCZfmZI3x7",44
"76","July 31, 2025 - August 3, 2025",2025,"Friday","ZINADELPHIA",NA,NA,NA,"2bTnGGWvuVQsMVyg31rmum",44
"77","July 31, 2025 - August 3, 2025",2025,"Friday","CAROL ADES",NA,NA,NA,"3WuoKYR1zeLGxR29c53Vdr",42
"78","July 31, 2025 - August 3, 2025",2025,"Friday","CASSANDRA COLEMAN",NA,NA,NA,"3WuoKYR1zeLGxR29c53Vdr",42
"79","July 31, 2025 - August 3, 2025",2025,"Friday","HEX COUGAR",NA,NA,"future bass, edm trap, melodic bass","0AlNB0yIoyxdKloLmK9AOR",41
"80","July 31, 2025 - August 3, 2025",2025,"Friday","VIPERACTIVE",NA,NA,"riddim, dubstep, bass music, deathstep","7HeSEuZA4D7EtdygBjCbi9",41
"81","July 31, 2025 - August 3, 2025",2025,"Friday","ALEMEDA",NA,NA,NA,"33Se8kMYeTPkeeM2LnsPF8",40
"82","July 31, 2025 - August 3, 2025",2025,"Friday","OCEAN ALLEY",NA,NA,"noise rock, j-rock","0HutkALC7kq2L8b9bnZUkq",38
"83","July 31, 2025 - August 3, 2025",2025,"Friday","OTOBOKE BEAVER",NA,NA,"noise rock, j-rock","0HutkALC7kq2L8b9bnZUkq",38
"84","July 31, 2025 - August 3, 2025",2025,"Friday","WINYAH",NA,NA,NA,"4iyP4VOGOLzbt2Vxcyu6zG",36
"85","July 31, 2025 - August 3, 2025",2025,"Friday","JESSE DETOR",NA,NA,NA,"3HljFuKgpaXNKfIlFZWCEk",35
"86","July 31, 2025 - August 3, 2025",2025,"Friday","MARY DROPPINZ",NA,NA,NA,"4tPVnr7VB15UA9TRsie3cS",33
"87","July 31, 2025 - August 3, 2025",2025,"Saturday","DOECHII",NA,NA,NA,"4E2rKHVDssGJm2SCDOMMJB",88
"88","July 31, 2025 - August 3, 2025",2025,"Saturday","CLAIRO",NA,NA,"bedroom pop","3l0CmX0FuQjFxr8SK7Vqag",81
"89","July 31, 2025 - August 3, 2025",2025,"Saturday","TWICE",NA,1,"k-pop","7n2Ycct7Beij7Dj7meI4X0",79
