Unnamed: 0,festival_dates,year,day_of_performance,artist,headliner,genre,spotify_popularity,genre_group
1,"July 31, 2025 - August 3, 2025",2025,Thursday,"TYLER, THE CREATOR",1.0,jangle pop,91.0,Pop
2,"July 31, 2025 - August 3, 2025",2025,Thursday,GRACIE ABRAMS,nan,lo-fi house,89.0,Electronic
3,"July 31, 2025 - August 3, 2025",2025,Thursday,LUKE COMBS,1.0,country,86.0,Folk / Country
4,"July 31, 2025 - August 3, 2025",2025,Thursday,ALEX WARREN,nan,lo-fi house,85.0,Electronic
5,"July 31, 2025 - August 3, 2025",2025,Thursday,CAGE THE ELEPHANT,nan,modern rock,75.0,Rock
6,"July 31, 2025 - August 3, 2025",2025,Thursday,ROLE MODEL,nan,bedroom pop,75.0,Pop
7,"July 31, 2025 - August 3, 2025",2025,Thursday,DOM DOLLA,nan,"house, tech house",72.0,Electronic
8,"July 31, 2025 - August 3, 2025",2025,Thursday,MARK AMBOR,nan,lo-fi house,72.0,Electronic
9,"July 31, 2025 - August 3, 2025",2025,Thursday,ROYEL OTIS,nan,indie,71.0,Indie / Alternative
10,"July 31, 2025 - August 3, 2025",2025,Thursday,MAGDALENA BAY,nan,lo-fi house,69.0,Electronic
11,"July 31, 2025 - August 3, 2025",2025,Thursday,2HOLLIS,nan,"hyperpop, electroclash",68.0,Pop
12,"July 31, 2025 - August 3, 2025",2025,Thursday,HALF-ALIVE,nan,lo-fi house,66.0,Electronic
13,"July 31, 2025 - August 3, 2025",2025,Thursday,JADE LEMAC,nan,lo-fi house,66.0,Electronic
14,"July 31, 2025 - August 3, 2025",2025,Thursday,MAU P,nan,"tech house, house",66.0,Electronic
15,"July 31, 2025 - August 3, 2025",2025,Thursday,THE BLESSED MADONNA,nan,lo-fi house,66.0,Electronic
16,"July 31, 2025 - August 3, 2025",2025,Thursday,BARRY CAN'T SWIM,nan,jazz house,65.0,Electronic
17,"July 31, 2025 - August 3, 2025",2025,Thursday,CLOONEE,nan,"tech house, house, latin house, techno",64.0,Electronic
18,"July 31, 2025 - August 3, 2025",2025,Thursday,XDINARY HEROES,nan,"k-rock, k-pop",64.0,Rock
19,"July 31, 2025 - August 3, 2025",2025,Thursday,SIERRA FERRELL,nan,"americana, alt country, bluegrass",63.0,Folk / Country
20,"July 31, 2025 - August 3, 2025",2025,Thursday,XAVIERSOBASED,nan,"cloud rap, underground hip hop",62.0,Hip-Hop / Rap
21,"July 31, 2025 - August 3, 2025",2025,Thursday,JULIE,nan,shoegaze,56.0,Other
22,"July 31, 2025 - August 3, 2025",2025,Thursday,OVERMONO,nan,"uk garage, breakbeat",56.0,Other
23,"July 31, 2025 - August 3, 2025",2025,Thursday,DURAND BERNARR,nan,neo soul,54.0,R&B / Soul
24,"July 31, 2025 - August 3, 2025",2025,Thursday,GLASS BEAMS,nan,lo-fi house,54.0,Electronic
25,"July 31, 2025 - August 3, 2025",2025,Thursday,PROSPA,nan,lo-fi house,54.0,Electronic
26,"July 31, 2025 - August 3, 2025",2025,Thursday,TORREN FOOT B2B AIRWOLF PARADISE,nan,tech house,52.0,Electronic
27,"July 31, 2025 - August 3, 2025",2025,Thursday,MATT CHAMPION,nan,bedroom pop,50.0,Pop
28,"July 31, 2025 - August 3, 2025",2025,Thursday,SUNAMI,nan,"hardcore, hardcore punk, grindcore",50.0,Punk
29,"July 31, 2025 - August 3, 2025",2025,Thursday,YANA,nan,lo-fi house,50.0,Electronic
30,"July 31, 2025 - August 3, 2025",2025,Thursday,THE DROPTINES,nan,red dirt,49.0,Other
31,"July 31, 2025 - August 3, 2025",2025,Thursday,FCUKERS,nan,lo-fi house,48.0,Electronic
32,"July 31, 2025 - August 3, 2025",2025,Thursday,THE SYMPOSIUM,nan,lo-fi house,47.0,Electronic
33,"July 31, 2025 - August 3, 2025",2025,Thursday,ALEXSUCKS,nan,lo-fi house,45.0,Electronic
34,"July 31, 2025 - August 3, 2025",2025,Thursday,AZZECCA,nan,"tech house, stutter house",45.0,Electronic
35,"July 31, 2025 - August 3, 2025",2025,Thursday,BLACK PARTY,nan,alternative r&b,44.0,Indie / Alternative
36,"July 31, 2025 - August 3, 2025",2025,Thursday,NOURISHED BY TIME,nan,lo-fi house,44.0,Electronic
37,"July 31, 2025 - August 3, 2025",2025,Thursday,RATBOYS,nan,lo-fi house,40.0,Electronic
38,"July 31, 2025 - August 3, 2025",2025,Thursday,BO STALOCH,nan,lo-fi house,39.0,Electronic
39,"July 31, 2025 - August 3, 2025",2025,Thursday,COLBY ACUFF,nan,lo-fi house,39.0,Electronic
40,"July 31, 2025 - August 3, 2025",2025,Thursday,SILLY GOOSE,nan,"rap metal, nu metal, rap rock",33.0,Rock
41,"July 31, 2025 - August 3, 2025",2025,Thursday,CHICAGO MADE,nan,lo-fi house,27.0,Electronic
42,"July 31, 2025 - August 3, 2025",2025,Thursday,GIRL TONES,nan,lo-fi house,27.0,Electronic
43,"July 31, 2025 - August 3, 2025",2025,Thursday,DJ HEATHER,nan,"chicago house, funky house",14.0,Electronic
44,"July 31, 2025 - August 3, 2025",2025,Friday,OLIVIA RODRIGO,1.0,jangle pop,88.0,Pop
45,"July 31, 2025 - August 3, 2025",2025,Friday,GIGI PEREZ,nan,lo-fi house,80.0,Electronic
46,"July 31, 2025 - August 3, 2025",2025,Friday,T-PAIN,nan,lo-fi house,80.0,Electronic
47,"July 31, 2025 - August 3, 2025",2025,Friday,KORN,1.0,"nu metal, metal, rap metal, alternative metal",78.0,Indie / Alternative
48,"July 31, 2025 - August 3, 2025",2025,Friday,DJO,nan,psychedelic pop,76.0,Pop
49,"July 31, 2025 - August 3, 2025",2025,Friday,FOSTER THE PEOPLE,nan,lo-fi house,74.0,Electronic
50,"July 31, 2025 - August 3, 2025",2025,Friday,ISABEL LAROSA,nan,lo-fi house,74.0,Electronic
51,"July 31, 2025 - August 3, 2025",2025,Friday,RAVYN LENAE,nan,alternative r&b,73.0,Indie / Alternative
52,"July 31, 2025 - August 3, 2025",2025,Friday,WALLOWS,nan,indie,73.0,Indie / Alternative
53,"July 31, 2025 - August 3, 2025",2025,Friday,BUNT.,nan,stutter house,70.0,Electronic
54,"July 31, 2025 - August 3, 2025",2025,Friday,BLADEE,nan,"cloud rap, hyperpop",69.0,Pop
55,"July 31, 2025 - August 3, 2025",2025,Friday,BLEACHERS,nan,lo-fi house,69.0,Electronic
56,"July 31, 2025 - August 3, 2025",2025,Friday,AMAARAE,nan,"alté, afrobeats",67.0,Other
57,"July 31, 2025 - August 3, 2025",2025,Friday,WYATT FLORES,nan,"country, red dirt",67.0,Folk / Country
58,"July 31, 2025 - August 3, 2025",2025,Friday,DEL WATER GAP,nan,lo-fi house,63.0,Electronic
59,"July 31, 2025 - August 3, 2025",2025,Friday,FLIPTURN,nan,lo-fi house,63.0,Electronic
60,"July 31, 2025 - August 3, 2025",2025,Friday,KNOCK2,nan,"bass house, edm, bassline",63.0,Electronic
61,"July 31, 2025 - August 3, 2025",2025,Friday,KENNY MASON,nan,lo-fi house,59.0,Electronic
62,"July 31, 2025 - August 3, 2025",2025,Friday,MURDA BEATZ,nan,lo-fi house,59.0,Electronic
63,"July 31, 2025 - August 3, 2025",2025,Friday,JANE REMOVER,nan,"hyperpop, shoegaze",57.0,Pop
64,"July 31, 2025 - August 3, 2025",2025,Friday,THE DARE,nan,electroclash,57.0,Other
65,"July 31, 2025 - August 3, 2025",2025,Friday,ISOXO,nan,"bass house, edm trap, edm",55.0,Hip-Hop / Rap
66,"July 31, 2025 - August 3, 2025",2025,Friday,ALLEYCVT,nan,"dubstep, edm",54.0,Electronic
67,"July 31, 2025 - August 3, 2025",2025,Friday,"HEY, NOTHING",nan,midwest emo,54.0,Other
68,"July 31, 2025 - August 3, 2025",2025,Friday,OLD MERVS,nan,surf rock,54.0,Rock
69,"July 31, 2025 - August 3, 2025",2025,Friday,TANNER ADELL,nan,lo-fi house,54.0,Electronic
70,"July 31, 2025 - August 3, 2025",2025,Friday,MIDNIGHT GENERATION,nan,"mexican indie, nu disco",53.0,Indie / Alternative
71,"July 31, 2025 - August 3, 2025",2025,Friday,ORLA GARTLAND,nan,indie pop,53.0,Indie / Alternative
72,"July 31, 2025 - August 3, 2025",2025,Friday,TAPE B,nan,"dubstep, bass music, riddim",53.0,Other
73,"July 31, 2025 - August 3, 2025",2025,Friday,STAR BANDZ,nan,lo-fi house,52.0,Electronic
74,"July 31, 2025 - August 3, 2025",2025,Friday,CAROLINE KINGSBURY,nan,lo-fi house,46.0,Electronic
75,"July 31, 2025 - August 3, 2025",2025,Friday,DOGPARK,nan,lo-fi house,44.0,Electronic
76,"July 31, 2025 - August 3, 2025",2025,Friday,ZINADELPHIA,nan,lo-fi house,44.0,Electronic
77,"July 31, 2025 - August 3, 2025",2025,Friday,CAROL ADES,nan,lo-fi house,42.0,Electronic
78,"July 31, 2025 - August 3, 2025",2025,Friday,CASSANDRA COLEMAN,nan,lo-fi house,42.0,Electronic
79,"July 31, 2025 - August 3, 2025",2025,Friday,HEX COUGAR,nan,"future bass, edm trap, melodic bass",41.0,Hip-Hop / Rap
80,"July 31, 2025 - August 3, 2025",2025,Friday,VIPERACTIVE,nan,"riddim, dubstep, bass music, deathstep",41.0,Other
81,"July 31, 2025 - August 3, 2025",2025,Friday,ALEMEDA,nan,lo-fi house,40.0,Electronic
82,"July 31, 2025 - August 3, 2025",2025,Friday,OCEAN ALLEY,nan,"noise rock, j-rock",38.0,Rock
83,"July 31, 2025 - August 3, 2025",2025,Friday,OTOBOKE BEAVER,nan,"noise rock, j-rock",38.0,Rock
84,"July 31, 2025 - August 3, 2025",2025,Friday,WINYAH,nan,lo-fi house,36.0,Electronic
85,"July 31, 2025 - August 3, 2025",2025,Friday,JESSE DETOR,nan,lo-fi house,35.0,Electronic
86,"July 31, 2025 - August 3, 2025",2025,Friday,MARY DROPPINZ,nan,lo-fi house,33.0,Electronic
87,"July 31, 2025 - August 3, 2025",2025,Saturday,DOECHII,nan,lo-fi house,88.0,Electronic
88,"July 31, 2025 - August 3, 2025",2025,Saturday,CLAIRO,nan,bedroom pop,81.0,Pop
89,"July 31, 2025 - August 3, 2025",2025,Saturday,TWICE,1.0,k-pop,79.0,Pop
90,"July 31, 2025 - August 3, 2025",2025,Saturday,MK.GEE,nan,trap latino,78.0,Hip-Hop / Rap
91,"July 31, 2025 - August 3, 2025",2025,Saturday,YOUNG MIKO,nan,trap latino,78.0,Hip-Hop / Rap
92,"July 31, 2025 - August 3, 2025",2025,Saturday,RÜFÜS DU SOL,1.0,jangle pop,76.0,Pop
93,"July 31, 2025 - August 3, 2025",2025,Saturday,FUJII KAZE,nan,j-pop,75.0,Pop
94,"July 31, 2025 - August 3, 2025",2025,Saturday,MARINA,nan,lo-fi house,75.0,Electronic
95,"July 31, 2025 - August 3, 2025",2025,Saturday,MONTELL FISH,nan,lo-fi house,75.0,Electronic
96,"July 31, 2025 - August 3, 2025",2025,Saturday,BOSSMAN DLOW,nan,lo-fi house,73.0,Electronic
97,"July 31, 2025 - August 3, 2025",2025,Saturday,CA7RIEL & PACO AMOROSO,nan,lo-fi house,73.0,Electronic
98,"July 31, 2025 - August 3, 2025",2025,Saturday,MAX MCNOWN,nan,lo-fi house,73.0,Electronic
99,"July 31, 2025 - August 3, 2025",2025,Saturday,BÔA,nan,lo-fi house,71.0,Electronic
100,"July 31, 2025 - August 3, 2025",2025,Saturday,CHASE & STATUS,nan,"drum and bass, jungle",71.0,Other
